w_out,LCOH,LCOH_i
1456.117572,0.024942343,0.53380498
2883.071717,0.012803459,0.274013968
1409.994453,0.023973089,0.513061426
4601.561613,0.013429068,0.28740296
1356.388875,0.05088936,1.089111544
664.7719139,0.067745969,1.449869228
1340.348073,0.053387364,1.142572727
1548.969216,0.020080323,0.429750185
419.0580251,0.125817718,2.692695092
7202.481981,0.014184464,0.303569614
360.7565295,0.10866752,2.325654137
1203.518788,0.031834913,0.681316717
407.7282366,0.094582865,2.024220597
3297.503164,0.022736166,0.486589352
2897.685679,0.022334607,0.477995368
3266.44074,0.015000051,0.321024454
760.4812613,0.027962045,0.598431303
1316.870544,0.041802144,0.894630981
670.1363733,0.029235244,0.62567975
4322.966193,0.011560946,0.247422251
1885.836027,0.016351146,0.349939986
1312.162733,0.040855606,0.874373597
1478.499849,0.043336635,0.927471473
3186.61488,0.017061834,0.365149813
4802.28823,0.020088767,0.429930889
191.0578595,0.081945138,1.753753555
1037.427268,0.037523361,0.803058348
1468.706177,0.037916128,0.811464177
425.8237308,0.061231498,1.310449396
508.5630564,0.027140837,0.580856168
1253.250916,0.032826476,0.702537697
2031.726285,0.026976355,0.577336
1575.731561,0.049706358,1.063793459
592.4919629,0.047414731,1.014749081
815.3433813,0.02689673,0.575631898
4460.824816,0.017453152,0.373524634
2006.180924,0.013931219,0.298149783
495.0359136,0.066332821,1.419625662
1182.670876,0.07872758,1.684892797
2406.224983,0.016040793,0.343297941
1968.153836,0.025269506,0.540806783
851.3153683,0.064790616,1.386620077
632.6992173,0.051430176,1.100685854
6730.954417,0.011637758,0.249066133
1806.595731,0.016097615,0.344514026
1597.256419,0.01803668,0.386013045
2559.68442,0.020497966,0.438688383
550.4605084,0.178477311,3.819692362
1004.125236,0.036154552,0.773763703
8754.159462,0.012586909,0.269379455
1385.427781,0.050959753,1.090618067
680.0334492,0.095575233,2.04545882
1902.344126,0.05057771,1.082441753
4090.499032,0.015830295,0.338792953
2955.643122,0.026225597,0.561268617
1594.132272,0.048951828,1.047645348
3105.534083,0.027523959,0.58905558
3346.29366,0.02588715,0.554025321
1231.554108,0.04291091,0.918360282
6290.747424,0.008984163,0.192275068
1714.264177,0.048655139,1.041295745
2488.335444,0.013193369,0.282358651
4443.577396,0.013818172,0.295730408
2092.421595,0.015741947,0.336902175
2258.48015,0.030648103,0.655917124
1561.639864,0.034852049,0.745888127
4105.107699,0.016028066,0.343025567
2643.478171,0.015931495,0.340958811
640.0583627,0.062873823,1.345597722
2478.967901,0.022854083,0.489112973
499.5082362,0.108413869,2.320225608
817.2265391,0.050226252,1.074919997
1018.355484,0.043899678,0.939521474
590.6042,0.053680946,1.148855829
210.3593565,0.152417492,3.261971665
1471.868809,0.037433318,0.801131301
2155.994149,0.016712504,0.357673615
55.05146192,0.667642361,14.28858615
2269.129862,0.018906872,0.404636499
1278.868987,0.063096458,1.350362452
617.7994783,0.030621537,0.655348566
3292.942728,0.009799704,0.209728916
810.7929376,0.027691392,0.5926389
3241.04098,0.016838439,0.360368825
2967.843146,0.012703749,0.271880004
511.8654741,0.093952576,2.01073142
4076.468488,0.017887971,0.38283043
916.9127381,0.057031547,1.220563919
1538.77089,0.042178151,0.902678103
2458.639483,0.022401373,0.479424256
4313.630731,0.016271483,0.348235081
97.67118447,0.207663419,4.444320529
4342.297641,0.019473009,0.416752718
1317.127312,0.04312445,0.922930371
4582.223539,0.017010585,0.364053012
7781.96721,0.013146617,0.281358083
4567.090779,0.013487915,0.288662377
299.0667147,0.071617773,1.532731867
3230.703089,0.018373913,0.393230348
326.6123316,0.124168767,2.657404966
4525.904175,0.009567564,0.204760759
694.7381199,0.035648979,0.762943653
2080.945845,0.02546788,0.54505229
3138.418317,0.009222686,0.197379835
2164.699484,0.013373141,0.286206044
5329.881879,0.013461477,0.288096563
1595.283117,0.023164507,0.49575652
1652.121665,0.034061302,0.728964891
4992.553433,0.017715271,0.379134374
1174.785304,0.021055592,0.450622462
2838.880308,0.017265643,0.369511641
4440.455797,0.013914568,0.297793422
2355.140092,0.020268227,0.433771616
2108.127684,0.033423561,0.715316245
700.6465604,0.035491302,0.759569138
2762.604715,0.01697973,0.363392667
2532.79996,0.041909952,0.896938229
476.3627152,0.071936704,1.539557491
1171.007975,0.034716534,0.742987897
493.4382092,0.077826697,1.665612501
4830.233441,0.013883109,0.297120148
